strategy,run,pid,condition,whichrobot,timesec,success,expTime,c4flag
1,38,8521,2,2,31.5,1,153.7,0
1,38,8521,3,0,117,0,111.83,0
1,38,8521,4,2,21.5,1,83.497,0
1,39,1181,1,0,150.5,0,145.7,0
1,39,1181,2,0,67,0,61.832,0
1,39,1181,3,0,62.5,0,78.593,0
1,39,1181,4,0,40,0,30.482,0
1,39,2241,1,2,22,1,229.69,0
1,39,2241,2,0,48.5,0,43.006,0
1,39,2241,3,0,72,0,66.821,0
1,39,2241,4,0,26.5,0,18.399,0
1,39,2652,1,2,11,1,318.52,1
1,39,2652,2,0,23,0,30.292,1
1,39,2652,3,0,159,0,153.93,1
1,39,2652,4,0,130.5,0,5.48,1
1,40,2652,1,2,11.5,1,318.52,1
1,40,2652,2,0,23,0,30.292,1
1,40,2652,3,0,159,0,153.93,1
1,40,2652,4,0,130.5,0,5.48,1
1,40,4774,1,1,112,1,253.6,0
1,40,4774,2,0,44,0,56.349,0
1,40,4774,3,0,67.5,0,79.836,0
1,40,4774,4,0,35,0,25.697,0
1,40,7623,1,0,273,0,268.79,1
1,40,7623,2,0,69.5,0,64.163,1
1,40,7623,3,0,59.5,0,54.231,1
1,40,7623,4,0,171,0,10.046,1
1,41,1600,1,2,95.5,1,163.25,0
1,41,1600,2,0,50,0,45.193,0
1,41,1600,3,2,14.5,1,49.757,0
1,41,1600,4,0,33.5,0,24.596,0
1,41,8414,1,0,203.5,0,199.13,1
1,41,8414,2,0,37.5,0,32.526,1
1,41,8414,3,0,71,0,65.974,1
1,41,8414,4,0,130.5,0,12.906,1
1,41,8431,1,0,135,0,129.99,0
1,41,8431,2,0,44.5,0,39.059,0
1,41,8431,3,0,131,0,138.04,0
1,41,8431,4,0,49.5,0,39.542,0
1,42,1251,1,2,80.5,1,212.55,0
1,42,1251,2,0,55,0,71.126,0
1,42,1251,3,2,37.5,1,76.031,0
1,42,1251,4,0,66,0,55.286,0
1,42,1418,1,2,18,1,236.77,0
1,42,1418,2,0,85,0,79.532,0
1,42,1418,3,2,42.5,1,275.09,0
1,42,1418,4,0,81,0,67.384,0
1,42,1600,1,2,25.5,1,163.25,0
1,42,1600,2,0,50,0,45.193,0
1,42,1600,3,0,55,0,49.757,0
1,42,1600,4,0,33.5,0,24.596,0
1,43,1870,1,0,229,0,223.74,1
1,43,1870,2,0,68.5,0,63.257,1
1,43,1870,3,0,147,0,154.28,1
1,43,1870,4,0,180,0,16.458,1
1,43,3088,1,2,117,1,181.31,1
1,43,3088,2,0,30,0,31.37,1
1,43,3088,3,2,141.5,1,153.38,1
1,43,3088,4,0,102.5,0,7.412,1
1,43,5754,1,2,91.5,1,108.89,0
1,43,5754,2,2,9,1,30.516,0
1,43,5754,3,0,68.5,0,63.153,0
1,43,5754,4,0,44,0,33.394,0
1,44,3088,1,0,186,0,181.31,1
1,44,3088,2,0,30,0,31.37,1
1,44,3088,3,2,38.5,1,153.38,1
1,44,3088,4,0,102.5,0,7.412,1
1,44,5754,1,2,44,1,108.89,0
1,44,5754,2,0,36,0,30.516,0
1,44,5754,3,0,68.5,0,63.153,0
1,44,5754,4,0,44,0,33.394,0
1,44,8521,1,0,237,0,231.75,0
1,44,8521,2,2,129.5,1,153.7,0
1,44,8521,3,2,87.5,1,111.83,0
1,44,8521,4,0,97.5,0,83.497,0
1,45,2241,1,0,229,0,229.69,0
1,45,2241,2,0,48.5,0,43.006,0
1,45,2241,3,0,72,0,66.821,0
1,45,2241,4,0,26.5,0,18.399,0
1,45,3907,1,2,113,1,278.96,1
1,45,3907,2,0,86,0,81.143,1
1,45,3907,3,0,54,0,48.94,1
1,45,3907,4,0,120.5,0,12.064,1
1,45,5834,1,2,16.5,1,191.51,1
1,45,5834,2,2,24.5,1,63.765,1
1,45,5834,3,0,88.5,0,83.388,1
1,45,5834,4,0,157.5,0,47.019,1
1,46,1418,1,2,207.5,1,236.77,0
1,46,1418,2,0,85,0,79.532,0
1,46,1418,3,0,280.5,0,275.09,0
1,46,1418,4,2,10.5,1,67.384,0
1,46,4399,1,2,136.5,1,214.21,1
1,46,4399,2,0,51.5,0,46.374,1
1,46,4399,3,0,55,0,49.501,1
1,46,4399,4,0,188,0,25.826,1
1,46,8989,1,2,225.5,1,425.11,1
1,46,8989,2,2,132,1,151.39,1
1,46,8989,3,0,166.5,0,161.14,1
1,46,8989,4,0,224,0,11.83,1
1,47,1418,1,0,238.5,0,236.77,0
1,47,1418,2,0,85,0,79.532,0
1,47,1418,3,0,280.5,0,275.09,0
1,47,1418,4,2,10.5,1,67.384,0
1,47,7042,1,2,11,1,199.98,0
1,47,7042,2,2,139,1,160.44,0
1,47,7042,3,2,9,1,108.78,0
1,47,7042,4,0,67,0,55.058,0
1,47,8521,1,2,11.5,1,231.75,0
1,47,8521,2,2,33.5,1,153.7,0
1,47,8521,3,2,87,1,111.83,0
1,47,8521,4,0,97.5,0,83.497,0
1,48,6400,1,2,9.5,1,173.4,0
1,48,6400,2,0,57,0,89.609,0
1,48,6400,3,2,54.5,1,171.83,0
1,48,6400,4,2,14,1,46.471,0
1,48,8004,1,2,72,1,162.52,1
1,48,8004,2,0,137.5,0,132.04,1
1,48,8004,3,0,68,0,62.607,1
1,48,8004,4,2,28.5,1,20.645,1
1,48,8864,1,2,12,1,294.51,1
1,48,8864,2,2,51,1,51.151,1
1,48,8864,3,0,43,0,37.675,1
1,48,8864,4,0,133,0,27.719,1
1,49,3472,1,0,149.5,0,144.01,0
1,49,3472,2,0,41,0,47.274,0
1,49,3472,3,0,103,0,113.31,0
1,49,3472,4,0,59.5,0,48.932,0
1,49,5834,1,0,197,0,191.51,1
1,49,5834,2,0,69,0,63.765,1
1,49,5834,3,0,88.5,0,83.388,1
1,49,5834,4,0,157.5,0,47.019,1
1,49,7667,1,0,210.5,0,205.14,0
1,49,7667,2,0,67,0,61.519,0
1,49,7667,3,0,148,0,142.57,0
1,49,7667,4,0,50.5,0,40.524,0
1,50,2241,1,2,228,1,229.69,0
1,50,2241,2,0,48.5,0,43.006,0
1,50,2241,3,0,72,0,66.821,0
1,50,2241,4,0,26.5,0,18.399,0
1,50,4105,1,2,251,1,275.99,1
1,50,4105,2,0,59.5,0,55.966,1
1,50,4105,3,0,52,0,48.229,1
1,50,4105,4,0,167,0,12.582,1
1,50,6400,1,2,31.5,1,173.4,0
1,50,6400,2,0,57,0,89.609,0
1,50,6400,3,0,177,0,171.83,0
1,50,6400,4,0,58,0,46.471,0
1,51,1600,1,2,70.5,1,163.25,0
1,51,1600,2,0,50,0,45.193,0
1,51,1600,3,2,18,1,49.757,0
1,51,1600,4,0,33.5,0,24.596,0
1,51,7623,1,0,273,0,268.79,1
1,51,7623,2,0,69.5,0,64.163,1
1,51,7623,3,0,59.5,0,54.231,1
1,51,7623,4,0,171,0,10.046,1
1,51,7667,1,0,210.5,0,205.14,0
1,51,7667,2,2,52.5,1,61.519,0
1,51,7667,3,0,148,0,142.57,0
1,51,7667,4,0,50.5,0,40.524,0
1,52,2241,1,2,120.5,1,229.69,0
1,52,2241,2,0,48.5,0,43.006,0
1,52,2241,3,0,72,0,66.821,0
1,52,2241,4,0,26.5,0,18.399,0
1,52,5834,1,0,197,0,191.51,1
1,52,5834,2,0,69,0,63.765,1
1,52,5834,3,0,88.5,0,83.388,1
1,52,5834,4,2,56,1,47.019,1
1,52,8521,1,2,9.5,1,231.75,0
1,52,8521,2,0,159,0,153.7,0
1,52,8521,3,0,117,0,111.83,0
1,52,8521,4,2,9.5,1,83.497,0
1,53,4105,1,0,281,0,275.99,1
1,53,4105,2,0,59.5,0,55.966,1
1,53,4105,3,0,52,0,48.229,1
1,53,4105,4,0,167,0,12.582,1
1,53,7042,1,0,168.5,0,199.98,0
1,53,7042,2,0,165.5,0,160.44,0
1,53,7042,3,2,12,1,108.78,0
1,53,7042,4,0,67,0,55.058,0
1,53,8004,1,0,163.5,0,162.52,1
